franchise,Id_franchise
Feast Collection,794
Clint Eastwood's Iwo Jima Collection,795
Corto Maltese,796
Happy Feet Collection,797
OSS 117 Collection,798
Reeker Collection,799
She Collection,800
Another Gay Movie Collection,801
Loose Change Collection,802
Happily N'Ever After Collection,803
Stomp the Yard Collection,804
Arthur and the Invisibles Collection,805
Don Camillo Collection,806
Smokin' Aces Collection,807
The Messengers Collection,808
Cocaine Cowboys,809
SPL Collection,810
Trailer Park Boys Collection,811
Ghost Rider Collection,812
Kidulthood Collection,813
The 36th Chamber of Shaolin Collection,814
Emil i Lönneberga,815
2001 Maniacs Collection,816
The Ultimate Collection,817
300 Collection,818
Vacancy Collection,819
The Condemned Collection,820
Maniac Cop Collection,821
This is England Collection,822
The Librarian Collection,823
Star Crash Collection,824
Surf's Up Collection,825
Grindhouse Collection,826
Transformers Collection,827
Arn collection,828
If I Were You Collection,829
The Bible Collection,830
Brice Collection,831
Halloween (Rob Zombie Series) Collection,832
2 Days In... Collection,833
Trilogía Sollima,834
Kevin Smith: Silent Bob Speaks!,835
30 Days of Night Collection,836
Why Did I Get Married Collection,837
Elite Squad Collection,838
Decoys Collection,839
The Man from Earth Collection,840
Hitman Collection,841
Alvin and the Chipmunks Collection,842
Futurama Collection,843
Design Trilogy,844
Inoshika Ocho series,845
The Hamiltons Collection,846
Keinohrhasen Filmreihe,847
Battlestar Galactica (Reboot) Collection,848
[REC] Collection,849
In the Name of the King Collection,850
Hatchet Collection,851
Footsoldier Collection,852
Zeitgeist Collection,853
Anders Matthesen,854
Never Back Down Collection,855
Zebraman Collection,856
Nim's Island Collection,857
Street Kings Collection,858
Outpost Collection,859
Iron Man Collection,860
Taken Collection,861
Stargate SG-1 Collection,862
Sex and the City Collection,863
Kung Fu Panda Collection,864
Flesh Gordon Collection,865
Wanted - Collection,866
Ten Minutes Older... (Collection),867
An American Girl Collection,868
Frosty the Snowman Collection,869
Mamma Mia! Collection,870
Simon Brenner Collection,871
Journey Collection,872
Death Note Collection,873
Space Chimps Collection,874
The Discworld Collection,875
Red Cliff Collection,876
Death Race Collection,877
Mirrors Collection,878
Tulse Luper,879
Cat Stevens y Hutch Bessy Trilogy,880
The Sabata Collection,881
Niko - Coleccion,882
Quarantine Collection,883
Guinea Pig Collection,884
Crows Collection,885
Camp Rock Collection,886
Beverly Hills Chihuahua Collection,887
Hanzo the Razor Collection,888
King of the Zombies Collection,889
The Twilight Collection,890
The Guyver Collection,891
Che Collection,892
War of the Worlds Collection,893
Marley & Me Collection,894
Jesse Stone Collection,895
Ip Man Collection,896
The Gamers Collection,897
The Mesrine Collection,898
Galaxy Express 999 Collection,899
Mall Cop Collection,900
