production_compani,Id_production_compani
Woodfall Film Productions,504
The Zanuck Company,505
Palomar Pictures,506
Gus Productions,507
Edge City,508
Allagash Films,509
Trans Pacific Films,510
Guardian Trust Company,511
Simcom Limited,512
Norstar Entertainment,513
SLM Production Group,514
Lorimar Film Entertainment,515
Pathé,516
Revolutionary Eye LLC,517
Buena Vista,518
Sveriges Television (SVT),519
FilmDallas Pictures,520
Antron Media Production,521
Ital-Noleggio Cinematografico,522
Mafilm,523
Buena Vista Distribution Company,524
Silver Screen Partners II,525
Umbrella-Rosenblum Film Production,526
TAFT Entertainment Pictures,527
Hal Roach Studios,528
Forensic Films,529
Personafilm,530
Chenault Productions,531
Silver Screen Partners III,532
The Guber-Peters Company,533
CAT Films,534
Weintraub Entertainment Group,535
Maljack Productions,536
Producers Sales Organization,537
Bavaria Film,538
Four Square Productions,539
Pathé Films,540
"Geffen Company, The",541
"Rainbow Film Company, The",542
Transatlantic Pictures,543
Redeemable Features,544
Bill Plympton Studios,545
Rhino Films,546
Fidélité Productions,547
Robert Simonds Productions,548
The Selznik Studio,549
Mayflower Pictures Corporation,550
Gainsborough Pictures,551
British International Pictures (BIP),552
Carlyle Blackwell Productions,553
Davis Entertainment Classics,554
Filmax,555
Cruise/Wagner Productions,556
Medusa Distribuzione,557
Medusa Produzione,558
Delphi II Productions,559
Sherwood,560
A&M Films,561
David Brown Productions,562
JD Productions,563
Movieco Australia,564
Sideshow Pictures,565
Original Film,566
Intermedia Films,567
Polar Entertainment,568
Playboy Enterprises,569
Nu Image Films,570
Prometheus Film Productions Ltd,571
Embassy Pictures Corporation,572
Patriot Pictures,573
Holly Hill Productions,574
Bayerischer Rundfunk,575
Harpo Films,576
Impact Pictures,577
Charter Films Inc.,578
Artisan Entertainment,579
Terminal City Pictures,580
Cannon Group,581
Zenith Entertainment,582
The Criterion Collection,583
Dino de Laurentiis Cinematografica,584
Sweetland Films,585
Initial Entertainment Group (IEG),586
Nordic Film,587
Dreamland Productions,588
Screen Classics (II),589
Toho Film (Eiga) Co. Ltd.,590
Famous Films (II),591
Kennedy Miller Productions,592
Atlantic Entertainment Group,593
Hughes Entertainment,594
Merlin Films,595
Chinese Bookie Pictures,596
Morpheus,597
Scala Films,598
Topps Chewing Gum,599
Vista Organization,600
Epic Productions,601
Lorimar Motion Pictures,602
David Foster Productions,603
Cannon Films,604
Nicolas Entertainment,605
Ultra Muchos Productions,606
Cote Blanche Productions,607
Silver Screen Partners,608
L.A. Films,609
Canal+ España,610
National Film Finance Corporation (NFFC),611
New Regency Pictures,612
Ken Lipper/June Beallor Production,613
Krátký Film Praha,614
Bel Air Entertainment,615
Underdog Productions,616
Toei Company,617
Corn Cobb Productions,618
Park Avenue Productions,619
William Castle Productions,620
Alligator Inc,621
Palladium Productions,622
Scout Productions,623
Artémis Productions,624
"Carousel Picture Company, The",625
Argyle Enterprises,626
Rankin/Bass Productions,627
Euro Video,628
Mad Chance,629
Adela Pictures,630
Syncopy,631
Golden Way Films Ltd.,632
No Limit Films,633
Sogetel,634
C.E.O. Films,635
Noram Entertainment,636
IRIS Films,637
Arte,638
Alcon Entertainment,639
Winslow Partners Ltd.,640
Thomas Coleman and Michael Rosenblatt Productions,641
Concorde Pictures,642
Working Dog,643
Filmline International,644
Beacon Communications,645
Engine Films,646
Mediaset,647
Kamera Film Unit,648
Hammer Film Productions,649
Universal Pictures Co. Inc.,650
Hemdale,651
Colonial Productions,652
Sunset Productions,653
DC Comics,654
Hill-Hecht-Lancaster Productions,655
Bookshop Productions,656
Summit Entertainment,657
Spyglass Entertainment,658
Ignite Entertainment,659
Mindfire Entertainment,660
Open City Films,661
Medusa Film,662
X-Filme Creative Pool,663
"Todman, Simon, LeMasters Productions",664
Les Films Christian Fechner,665
Les Films du Losange,666
Hobby Films,667
MTV Films,668
Ventanarosa Productions,669
Minotaur Productions,670
Bryna Productions,671
Seven Arts Productions,672
Kindred Limited Partnership,673
Ciné Valse,674
American Playhouse,675
The Geffen Company,676
Santa Clara Productions,677
Golan-Globus,678
Lorimar Productions,679
Pressman Productions,680
Warner Bros. Animation,681
Irish Dreamtime,682
Head On Productions,683
Ritz-Carlton Pictures,684
Alta Vista Productions,685
Alta Vista Film Production,686
The Mount Company,687
Konrad Pictures,688
Madhouse,689
Suntaur Entertainment Company,690
Liberty Pictures,691
Seven Arts Pictures,692
Decla-Bioscop AG,693
D.A. Films,694
Radio Télévision Belge Francophone,695
FGM Entertainment,696
BAC Films,697
Fuji Television Network,698
Les Films Marceau,699
Harristown Funding,700
Camera 2 Productions,701
Talking Heads,702
Penthouse Films International,703
Proscenium Films,704
BLT Productions,705
Quadra Entertainment,706
Feature Productions,707
SNL Studios,708
Radio Televisión Española (RTVE),709
Earthbound Human Productions Inc.,710
Société Nouvelle Pathé Cinéma,711
Seasonal Film Corporation,712
Cineguild,713
Barclays Mercantile Industrial Finance,714
Ljubavny Film,715
Nouvelles Éditions de Films (NEF),716
Cinequanon,717
Subafilms,718
Green Parrot,719
Pickford Corporation,720
Red-horse Native,721
Scala Productions,722
Lower East Side Films,723
Code Productions,724
Werner Herzog Filmproduktion,725
Xi'an Film Studio,726
Destination Films,727
id films,728
Goodtimes Enterprises,729
Monterey Films,730
Dark Castle Entertainment,731
Craven-Maddalena Films,732
Fox Entertainment Group,733
Jubilee Pictures Corporation,734
Civilian Pictures,735
Cineplex,736
ARP Sélection,737
American Broadcasting Company (ABC),738
Buster Keaton Productions,739
Wild Street Pictures,740
Empire Pictures,741
Avenue Pictures Productions,742
Mace Neufeld Productions,743
Mary Pickford Company,744
American Artists,745
Walter Seltzer Productions,746
Brooksfilms Ltd.,747
Belstar Productions,748
Cinema Center Films,749
Newtown Productions,750
Cinépix,751
Lions Gate,752
TV Tokyo,753
Abandon Pictures,754
Monogram Pictures,755
Sherwood Productions,756
Filmways Pictures,757
Compton Films,758
Mirco & Slavco - First Partizan Production,759
Films A.B.C.,760
Produzioni De Sica,761
Star Partners II Ltd.,762
Parkes/Lasker productions,763
Moonstone Entertainment,764
Nuova Linea Cinematografica,765
The Kennedy/Marshall Company,766
Réalisation d'Art Cinématographique,767
Bing Crosby Productions,768
Sol Lesser Productions,769
Selmur Productions,770
Arwin Productions,771
Happy Madison Productions,772
Joseph M. Schenck Productions,773
William Cagney Productions,774
Laurence Mark Productions,775
CanWest Global Communications Corporationt,776
Newmarket Capital Group,777
Republic Pictures (I),778
Romulus Films,779
Donners' Company,780
Mutual Film Company,781
Solar Productions,782
Essex Productions,783
Raybert Productions,784
Producers Circle,785
Segal-Tokofsky Productions Inc.,786
CCC Filmkunst GmbH,787
Poison L.P.,788
Phoenix Films,789
British Film Institute (BFI),790
Opera Film Produzione,791
Televisión Española (TVE),792
Angel Productions,793
John Woolf Productions,794
Billy Jack Enterprises,795
Palm Pictures,796
Tabasco films,797
Milestone Productions,798
Les Artistes Anonymes,799
Bad Lt. Productions,800
Franchise Pictures,801
DMG Entertainment,802
Quintet Productions,803
STS Productions Inc,804
Rainforest Films,805
Security Pictures,806
Mars Production Corporation,807
Columbia British Productions,808
Interscope Communications,809
Producers Releasing Corporation (PRC),810
Charles Chaplin Productions,811
First National Pictures,812
ABC Motion Pictures,813
Marcel Hellman Productions,814
Battleplan Productions,815
Nimbus Film Productions,816
Code Entertainment,817
Kennedy Miller,818
Crown International Pictures,819
Howco Productions Inc.,820
Scimitar Productions,821
Apollo Associates,822
ITC Entertainment,823
Rolling M. Productions,824
Vestron Pictures,825
Friedman-Lewis Productions,826
Box Office Spectaculars,827
Hemisphere Pictures,828
Artists Entertainment Complex,829
C.V. Whitney Pictures,830
Wolper Pictures,831
Compagnia Cinematografica Mondiale (CCM),832
George Pal Productions,833
Stanley Kramer Productions,834
PRC,835
British Lion Films,836
Camelot Productions,837
Permut Presentations,838
Incorporated Television Company,839
Incorporated Television Company (ITC),840
British Lion Film Corporation,841
Hecht-Lancaster Productions,842
Pathé Entertainment,843
21st Century Film Corporation,844
Delphi V Productions,845
Varahonar Company,846
Woolner Brothers Pictures Inc.,847
Two Arts Ltd.,848
Japan America Picture Company,849
Blake Edwards,850
Daiei Studios,851
Vulcan Productions Inc.,852
Monarchy Enterprises B.V.,853
Danziger Productions Ltd.,854
